feature,category,precision,recall,fbeta
workclass,Private,0.6107784431137725,0.31875,0.4188911704312115
workclass,Local-gov,0.5,0.2231404958677686,0.30857142857142855
workclass,Self-emp-not-inc,0.7733333333333333,0.3493975903614458,0.4813278008298755
workclass,Federal-gov,0.6190476190476191,0.19696969696969696,0.29885057471264365
workclass,State-gov,0.6451612903225806,0.3225806451612903,0.4301075268817204
workclass,?,0.6,0.5,0.5454545454545454
workclass,Self-emp-inc,0.9787234042553191,0.4107142857142857,0.5786163522012578
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,Masters,0.9154929577464789,0.34759358288770054,0.5038759689922481
education,Bachelors,0.7867298578199052,0.36323851203501095,0.4970059880239521
education,Some-college,0.5114503816793893,0.24723247232472326,0.33333333333333337
education,11th,0.6,0.5454545454545454,0.5714285714285713
education,HS-grad,0.4340659340659341,0.2581699346405229,0.32377049180327877
education,Assoc-acdm,0.7222222222222222,0.26,0.3823529411764706
education,12th,0.2857142857142857,0.2857142857142857,0.2857142857142857
education,Prof-school,0.9534883720930233,0.43157894736842106,0.5942028985507247
education,10th,0.25,0.15384615384615385,0.1904761904761905
education,5th-6th,0.25,0.5,0.3333333333333333
education,Assoc-voc,0.6388888888888888,0.3770491803278688,0.4742268041237113
education,1st-4th,0.0,0.0,0.0
education,9th,0.0,0.0,0.0
education,7th-8th,0.18181818181818182,0.5,0.26666666666666666
education,Doctorate,0.9545454545454546,0.4117647058823529,0.5753424657534247
education,Preschool,0.0,1.0,0.0
marital-status,Married-civ-spouse,0.7692307692307693,0.31490015360983103,0.44686648501362397
marital-status,Never-married,0.319672131147541,0.4020618556701031,0.35616438356164387
marital-status,Divorced,0.410958904109589,0.3333333333333333,0.36809815950920244
marital-status,Separated,0.3333333333333333,0.4,0.3636363636363636
marital-status,Widowed,0.3076923076923077,0.2222222222222222,0.2580645161290323
marital-status,Married-spouse-absent,0.16666666666666666,0.16666666666666666,0.16666666666666666
marital-status,Married-AF-spouse,1.0,1.0,1.0
occupation,Exec-managerial,0.8461538461538461,0.32439678284182305,0.46899224806201545
occupation,Prof-specialty,0.8081395348837209,0.3687002652519894,0.5063752276867031
occupation,Protective-serv,0.5454545454545454,0.125,0.20338983050847456
occupation,Sales,0.6631578947368421,0.3423913043478261,0.45161290322580644
